id,desc,cover,video_addr,author_id,author_name,digg_count,share_count,comment_count,play_count,collect_count,tag_list,is_verify,author_signature,author_follower,author_heart_count,author_video_count,author_digg_count,create_time,duration,music_title,music_url,music_author
7332963271248563499,"China in my eyes. 1 month 9 cities. Can’t believe I did this with VERY last minute planning but it was worth it!  From ancient towns to crazy modern high rise buildings, I was in awe traveling across China! Can’t wait to be back and explore more area/cities!  #china #chinatravel #chinatrip #travel #travelbucketlist #shanghai #chongqing #chengdu #guangzhou #hangzhou #asia",https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o82W9CSBlB64EwCiiHDfLAElEDADPwBgoRI6ve?lk3s=b59d6b55&x-expires=1729609200&x-signature=xWDMWfrdwVwGZsyxojA%2Fb5Fvr4A%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@wanderwithkara/video/7332963271248563499,6740566303738528774,wanderwithkara,357900,23500,6777,4900000,66000,china chinatravel chinatrip travel travelbucketlist shanghai chongqing chengdu guangzhou hangzhou asia ,false,"📍LA based
📩 wanderwithkara@gmail.com",25300,1200000,201,4538,2024-02-08 04:44:16,47,No Reason,,Ryan.B & effie
7358518644600540448,DRONE DELIVERY service in China!! Wow this place is already in the future 🤩🇨🇳 #thehutchinsons #china #chinatravel #chinatiktok #shenzhen #future #drone #traveltiktok ,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-euttp/ebb18c936d96496880b20460dffa6922_1713288640?lk3s=b59d6b55&x-expires=1729609200&x-signature=x0bXs7czxw9cgoA3WqeXCCsCIqc%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@thehutchinsonfamily/video/7358518644600540448,6976631387579745285,thehutchinsonfamily,314900,82800,13400,7800000,29000,thehutchinsons china chinatravel chinatiktok shenzhen future drone traveltiktok ,true,"🌎 Full Time Travel Family 🇬🇧 
Enquiries: info@thehutchinsonfamily.co.uk",202300,2800000,1128,611,2024-04-17 01:30:37,86,original sound,,thehutchinsonfamily
7387007445693926699,how to spend 8 hours on the train in China ##chineselanguage##chinatravel##chinatrainsystem##chinatrain,https://p16-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/1ae081bf6c4d456984620f0dec6cfa71_1719921710?lk3s=b59d6b55&x-expires=1729609200&x-signature=8DrLaBt7b7JdaF0NDXZaQCNMmFk%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@lahong/video/7387007445693926699,7218535750265373738,lahong,13900000,891400,33100,90400000,1200000,chineselanguage chinatravel chinatrainsystem chinatrain ,false,"IG：lahong_12
Requirement:739460381@qq.com",746500,26600000,22,14,2024-07-02 20:01:48,87,原聲,,lahong
7401255589868801310,"This is how you visit China as an American without a Tourist Visa — it’s unfortunate to only be able to visit one province for only 6 days, but also totally worth it, as China is amazing and opens your eyes like no other place on earth 🤙🇨🇳  Have you ever heard of the 144hr visa-free transit policy??  #china #chinatravel #guangdong #guangzhou #shenzhen #visitguangzhou #visitshenzhen #visitchina #americaninchina #chinatrain #travelinspo",https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-p-0068-tx2/f7100b6896fd4e40a3fa4941014aab81_1723239120~tplv-dmt-logom:tos-useast8-i-0068-tx2/oEYRFIr3PCzAAAiiiNCE82OaAEBZBlK0siw6A.image?lk3s=b59d6b55&x-expires=1729609200&x-signature=mKmLwCAXkiK6cvB9kjGi30NojXI%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@snydexplores/video/7401255589868801310,6777797582901281798,snydexplores,26800,1064,599,418300,2641,china chinatravel guangdong guangzhou shenzhen visitguangzhou visitshenzhen visitchina americaninchina chinatrain travelinspo ,false,"👇🌎JOIN ME ON MY TRAVELS 🌎👇
📧 Business/collabs: eli@creatorx.agency",165800,5000000,251,57300,2024-08-10 05:31:57,60,Winter Rain,,Prod. By Rose
7219056285860236562,Have a good trip in China but remember these!!! #travelinchina #chinatravel #chinesefood #china @karissaeats ,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/47e07d2074cf4bb48eaa6da0379533de_1680817549~tplv-dmt-logom:tos-alisg-i-0068/9759f47e61ce465e95cfb8c94eca70c2.image?lk3s=b59d6b55&x-expires=1729609200&x-signature=%2F3wK2dFQR%2BaLJs0pcJo2Pz%2Fd3NQ%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@𝐒𝐀𝐈 🍀/video/7219056285860236562,6749220611644032006,𝐒𝐀𝐈 🍀,1200000,41100,11400,23800000,90100,travelinchina chinatravel chinesefood china  ,false,"à Paris 🍒
Fashion ~ Culture ~ Being funny 
💌 sairuiparis@gmail.com
@Sai 🌸",185300,1400000,131,1218,2023-04-07 05:45:34,60,son original,,𝐒𝐀𝐈 🍀
7331249139365350702,@infinitix_yt Craziest City On Earth! 😮 📍  China 🇨🇳 . #china #future #trending #travel #unique #explore ,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-p-0068-tx/55e5a5f4b17440a1adc7d4402bdce033_1706939504~tplv-dmt-logom:tos-useast5-i-0068-tx/oEmCDGfDSEeXRslE11jcCvnd9CGAoERAFAApIg.image?lk3s=b59d6b55&x-expires=1729609200&x-signature=KJf7drmzCM%2BMFVO%2Bpk9NBsJssHw%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@Travel and Adventure ✈️🌎🚞/video/7331249139365350702,7271541496777606190,Travel and Adventure ✈️🌎🚞,650500,85800,5378,18800000,64700,china future trending travel unique explore ,false,"📍  Discover Amazing Places
🌍 Travel 
⬇️ Make your own travel videos with AI ⬇️",102000,724100,465,1926,2024-02-03 13:51:42,52,original sound,,Travel and Adventure ✈️🌎🚞
7387780043629530411,They Are Definitely Going To Think This Is Ai 😱LOCATION➡️ 📍LUX* CHONGZUO GUANGXI  SAVE THIS VIDEO FOR YOUR NEXT CHINA TRIP #chinatravel #144chinavisa #chinatravel2024 #traveltochinablackgirl #americaninchina #creatorsearchinsights ,https://p19-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/d075a92778e7465393b6ea81f222dad3_1720101593~tplv-dmt-logom:tos-useast5-i-0068-tx/oQGoBPAEEMiLgxGBvAqqtAikB0A4TajACIZnm.image?lk3s=b59d6b55&x-expires=1729609200&x-signature=mk5bEgM79s5twMVEH1VSDlEIwYY%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@PASSPORT VISIONZ/video/7387780043629530411,6935626086391579653,PASSPORT VISIONZ,725000,95300,3341,4300000,119300,chinatravel 144chinavisa chinatravel2024 traveltochinablackgirl americaninchina creatorsearchinsights ,false,"passportvisionz@gmail.com
JOIN OUR GROUP TRIP HERE👇🏾",180500,10600000,431,38900,2024-07-04 21:59:52,25,original sound,,PASSPORT VISIONZ
7372290853718592800,"China has it all: beautiful nature landscapes, old ancient villages, and lively colorful cities ✨ • • • #fyp #chinatravel #chinalife #chinalifebelike #studyinchina #studyabroad #travel #traveltiktok #nature #cities #china #landscapes #views #fypage #travellife #traveltok #visitchina #chinese #chinastyle #shanghai #chongqing #ancientvillage ",https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-p-0037-euttp/c7011266cb88472cb32a5305cdab6d59_1716495234~tplv-dmt-logom:tos-useast2a-i-0068-euttp/okiR7UIP1BU9AtB0CQftiyAPANEA3A1eD6TmoE.image?lk3s=b59d6b55&x-expires=1729609200&x-signature=kDqIbgRUTfSqOTqWte%2B4iJs6Gq0%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@Wok’n’Roll London/video/7372290853718592800,6793005748601209861,Wok’n’Roll London,487000,33300,2494,2900000,71000,fyp chinatravel chinalife chinalifebelike studyinchina studyabroad travel traveltiktok nature cities china landscapes views fypage travellife traveltok visitchina chinese chinastyle shanghai chongqing ancientvillage ,false,Spreading the sizzle 🔥 of Chinese culture 🇨🇳 travel to China with @SPOTCHINA,122000,6100000,372,4942,2024-05-24 04:13:51,46,No Reason,,Ryan.B & effie
7423168162335558945,"When you study abroad in China, you will find that people in the north are very tall. In Harbin, Liaoning, and Shandong, the average height per capita is 180cm #studyinchina #studyabroad #China #studyinchina🇨🇳 #chinese #chinalife #chinatravel #中国留学 #เรียนที่ประเทศจีน #duhọctrungquốc #الصين #китай #중국유학 ",https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-euttp/087eaa92403040d6ab91900d1bb2f14d_1728341038?lk3s=b59d6b55&x-expires=1729609200&x-signature=P717V6D0Zru0TR%2FwFaDOuQ9iP6Y%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@HAN EDUCATION STUDY IN CHINA/video/7423168162335558945,7386929188475159585,HAN EDUCATION STUDY IN CHINA,97400,7303,2008,964500,10500,studyinchina studyabroad china studyinchina🇨🇳 chinese chinalife chinatravel 中国留学 เรียนที่ประเทศจีน duhọctrungquốc الصين китай 중국유학 ,false,"🇨🇳 Study in China application agency.
+86 180 5844 4260",10700,326900,180,32,2024-10-08 06:43:55,22,原聲,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-v-2370-euttp/oYA4EbBZgojfIdYmErNGnAWiFd6iIKzshMoBDH/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GcAInInz7ThPFnUOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=Zmg1ZWdnO2Y5NDw4OTU2PEBpajp0a3Q5cmU5djMzZjU8M0BfXjBiYDQ0Xl8xYDIxNC9iYSNibGhpMmRjNS9gLS1kMWNzcw%3D%3D&btag=e00088000&expire=1729458236&l=2024102015033310C2991959DB0951B92C&ply_type=3&policy=3&signature=2ad92041fe54de8bb9362ba1c0ad9295&tk=7404668925093430315&download=true,HAN EDUCATION STUDY IN CHINA
7326292887824567585,Welcome to the future. #china #vacance #travel #asian #trip #world #trip #chongqing #cyberpunk ,https://p16-sign-useast2a.tiktokcdn.com/obj/tos-useast2a-p-0037-euttp/b6484de63bda43a69fa436c0c1ff0740_1705874054?lk3s=b59d6b55&x-expires=1729609200&x-signature=yxgdqZgd59PL3Z0buMotxjTRvI4%3D&shp=b59d6b55&shcp=-,https://www.tiktok.com/@Travel lonely/video/7326292887824567585,7325947732216153120,Travel lonely,525900,36100,3803,4500000,89000,china vacance travel asian trip world trip chongqing cyberpunk ,false,Follow me if u like. 🌏,9258,815800,45,654,2024-01-21 05:18:16,12,I see that town Silent Hill,,Exterminator 05
